City,Area_sqft,Bedrooms,Bathrooms,Balcony,Age,Price
Kolkata,3513,5,2,0,15,32307000
Mysore,1282,2,1,2,15,8997600
Visakhapatnam,538,5,3,1,20,4663600
Chandigarh,3062,5,1,0,23,43278000
Ahmedabad,3310,5,1,0,23,26890000
Trivandrum,2720,1,3,0,21,25930000
Kolkata,1904,5,3,0,10,18046000
Kochi,2863,4,1,1,0,29430000
Chandigarh,2953,4,1,2,14,41942000
Chandigarh,1132,3,1,2,23,16118000
Trivandrum,2148,5,4,1,3,21656000
Chennai,823,5,1,2,29,10326000
Ahmedabad,3878,2,4,0,17,31464000
Bangalore,1991,1,2,1,16,30015000
Vadodara,789,3,4,2,6,7124200
Trivandrum,741,5,1,1,17,7649500
Delhi,1345,2,2,1,12,24590000
Indore,1013,1,4,2,19,6488000
Pune,892,3,4,2,19,12306000
Delhi,591,3,3,1,28,10968000
Trivandrum,898,5,2,1,9,9421000
Mumbai,1221,3,3,2,0,31495000
Indore,2135,2,2,1,1,13410000
Vadodara,1656,3,4,2,16,13686800
Indore,2368,4,3,1,21,14828000
Surat,626,2,1,1,28,5261000
Lucknow,1794,1,4,1,2,12331000
Nagpur,2586,1,2,2,16,16263200
Visakhapatnam,3303,5,2,0,11,24551600
Visakhapatnam,1216,5,3,2,23,9565200
Kochi,3620,4,3,1,29,36660000
Indore,3586,1,2,0,11,21686000
Mysore,1873,1,4,0,29,12786400
Bangalore,1486,1,3,1,19,22500000
Hyderabad,503,1,1,2,9,5783000
Kochi,2274,3,2,0,6,23310000
Kolkata,1270,2,1,0,9,11670000
Trivandrum,1067,2,2,2,17,10496500
Jaipur,2442,4,1,2,21,17554000
Kolkata,672,3,4,0,5,6878000
Patna,1429,1,2,2,6,7575000
Chennai,3618,1,4,0,27,43506000
Coimbatore,2631,5,3,1,16,20602500
Patna,1451,5,2,2,29,7825000
Jaipur,1973,4,4,0,11,14671000
Trivandrum,3590,1,1,2,16,34215000
Delhi,692,4,4,2,17,13356000
Mysore,3842,3,2,0,13,26555600
Visakhapatnam,3715,2,4,1,10,27408000
Kolkata,3689,1,1,0,1,33451000
Indore,2624,3,1,2,20,16074000
Ahmedabad,3770,1,1,0,0,30430000
Visakhapatnam,2505,5,3,2,10,19106000
Bangalore,1692,4,2,0,1,26200000
Coimbatore,707,5,1,1,15,5952500
Surat,3759,2,3,1,21,32271500
Chennai,1376,5,1,1,2,17422000
Patna,3576,1,4,1,19,18210000
Ahmedabad,1651,5,2,0,0,14198000
Chennai,1670,1,4,1,20,20350000
Delhi,3147,2,3,0,19,56926000
Pune,1917,5,4,2,7,26171000
Vadodara,2530,4,4,2,18,20614000
Lucknow,1609,4,1,2,25,10838500
Chennai,2699,4,4,1,0,33548000
Vadodara,1778,5,1,1,29,14238400
Patna,2173,5,1,1,28,11255000
Indore,2119,5,2,2,25,13364000
Delhi,2442,1,3,2,4,44546000
Lucknow,1195,2,3,2,29,8007500
Chennai,1296,4,3,2,0,16672000
Coimbatore,2361,1,1,0,10,17777500
Nagpur,609,4,3,0,20,4335800
Visakhapatnam,3263,1,1,1,8,23683600
Ahmedabad,3056,5,2,1,4,25438000
Coimbatore,2894,4,3,2,1,22805000
Ahmedabad,2907,5,1,0,12,23886000
Trivandrum,1367,4,3,0,17,13606500
Nagpur,871,3,3,1,25,5790200
Bhopal,2817,1,2,0,24,16248600
Patna,3347,3,4,1,11,17525000
Visakhapatnam,3963,1,3,2,13,28943600
Trivandrum,1322,2,2,2,4,13179000
Bhopal,536,4,3,1,26,3628800
Jaipur,766,2,3,2,23,5722000
Visakhapatnam,3359,2,3,2,9,24824800
Bhopal,583,1,3,0,19,3511400
Mumbai,3758,3,4,0,1,94860000
Kolkata,2919,5,4,0,3,27441000
Jaipur,1798,1,3,0,11,12876000
Mumbai,3101,5,3,0,10,78435000
Indore,3196,2,2,1,3,19736000
Ahmedabad,936,5,2,1,10,8358000
Chandigarh,3982,3,1,0,8,56158000
